name,sample_ID,start_position,end_position,length,label,label_2,label_3,label_4,label_5
AE017196,AE017196.1,0,3999,4000,0,0,0,0,0
AE017196,AE017196.1,100,4099,4000,0,0,0,0,0
AE017196,AE017196.1,200,4199,4000,0,0,0,0,0
AE017196,AE017196.1,300,4299,4000,0,0,0,0,0
AE017196,AE017196.1,400,4399,4000,0,0,0,0,0
AE017196,AE017196.1,500,4499,4000,0,0,0,0,0
AE017196,AE017196.1,600,4599,4000,0,0,0,0,0
AE017196,AE017196.1,700,4699,4000,0,0,0,0,0
AE017196,AE017196.1,800,4799,4000,0,0,0,0,0
AE017196,AE017196.1,900,4899,4000,0,0,0,0,0
AE017196,AE017196.1,1000,4999,4000,0,0,0,0,0
AE017196,AE017196.1,1100,5099,4000,0,0,0,0,0
AE017196,AE017196.1,1200,5199,4000,0,0,0,0,0
AE017196,AE017196.1,1300,5299,4000,0,0,0,0,0
AE017196,AE017196.1,1400,5399,4000,0,0,0,0,0
AE017196,AE017196.1,1500,5499,4000,0,0,0,0,0
AE017196,AE017196.1,1600,5599,4000,0,0,0,0,0
AE017196,AE017196.1,1700,5699,4000,0,0,0,0,0
AE017196,AE017196.1,1800,5799,4000,0,0,0,0,0
AE017196,AE017196.1,1900,5899,4000,0,0,0,0,0
AE017196,AE017196.1,2000,5999,4000,0,0,0,0,0
AE017196,AE017196.1,2100,6099,4000,0,0,0,0,0
AE017196,AE017196.1,2200,6199,4000,0,0,0,0,0
AE017196,AE017196.1,2300,6299,4000,0,0,0,0,0
AE017196,AE017196.1,2400,6399,4000,0,0,0,0,0
AE017196,AE017196.1,2500,6499,4000,0,0,0,0,0
AE017196,AE017196.1,2600,6599,4000,0,0,0,0,0
AE017196,AE017196.1,2700,6699,4000,0,0,0,0,0
AE017196,AE017196.1,2800,6799,4000,0,0,0,0,0
AE017196,AE017196.1,2900,6899,4000,0,0,0,0,0
AE017196,AE017196.1,3000,6999,4000,0,0,0,0,0
AE017196,AE017196.1,3100,7099,4000,0,0,0,0,0
AE017196,AE017196.1,3200,7199,4000,0,0,0,0,0
AE017196,AE017196.1,3300,7299,4000,0,0,0,0,0
AE017196,AE017196.1,3400,7399,4000,0,0,0,0,0
AE017196,AE017196.1,3500,7499,4000,0,0,0,0,0
AE017196,AE017196.1,3600,7599,4000,0,0,0,0,0
AE017196,AE017196.1,3700,7699,4000,0,0,0,0,0
AE017196,AE017196.1,3800,7799,4000,0,0,0,0,0
AE017196,AE017196.1,3900,7899,4000,0,0,0,0,0
AE017196,AE017196.1,4000,7999,4000,0,0,0,0,0
AE017196,AE017196.1,4100,8099,4000,0,0,0,0,0
AE017196,AE017196.1,4200,8199,4000,0,0,0,0,0
AE017196,AE017196.1,4300,8299,4000,0,1,1,0,1
AE017196,AE017196.1,4400,8399,4000,0,1,1,0,1
AE017196,AE017196.1,4500,8499,4000,0,1,1,1,1
AE017196,AE017196.1,4600,8599,4000,0,1,1,1,1
AE017196,AE017196.1,4700,8699,4000,0,0,1,1,1
AE017196,AE017196.1,4800,8799,4000,0,0,1,1,0
AE017196,AE017196.1,4900,8899,4000,0,0,1,1,1
AE017196,AE017196.1,5000,8999,4000,0,0,1,1,1
AE017196,AE017196.1,5100,9099,4000,0,0,1,1,1
AE017196,AE017196.1,5200,9199,4000,0,0,1,1,1
AE017196,AE017196.1,5300,9299,4000,0,0,1,1,1
AE017196,AE017196.1,5400,9399,4000,0,0,1,1,1
AE017196,AE017196.1,5500,9499,4000,0,0,1,1,1
AE017196,AE017196.1,5600,9599,4000,0,0,1,1,0
AE017196,AE017196.1,5700,9699,4000,0,0,1,1,1
AE017196,AE017196.1,5800,9799,4000,0,0,1,0,0
AE017196,AE017196.1,5900,9899,4000,0,0,1,0,1
AE017196,AE017196.1,6000,9999,4000,0,0,0,0,0
AE017196,AE017196.1,6100,10099,4000,0,0,0,0,0
AE017196,AE017196.1,6200,10199,4000,0,0,0,0,0
AE017196,AE017196.1,6300,10299,4000,0,0,0,0,0
AE017196,AE017196.1,6400,10399,4000,0,0,0,0,0
AE017196,AE017196.1,6500,10499,4000,0,0,0,0,0
AE017196,AE017196.1,6600,10599,4000,0,0,0,0,0
AE017196,AE017196.1,6700,10699,4000,0,0,0,0,0
AE017196,AE017196.1,6800,10799,4000,0,0,0,0,0
AE017196,AE017196.1,6900,10899,4000,0,0,0,0,0
AE017196,AE017196.1,7000,10999,4000,0,0,0,0,0
AE017196,AE017196.1,7100,11099,4000,0,0,0,0,0
AE017196,AE017196.1,7200,11199,4000,0,0,0,0,0
AE017196,AE017196.1,7300,11299,4000,0,0,0,0,0
AE017196,AE017196.1,7400,11399,4000,0,0,0,0,0
AE017196,AE017196.1,7500,11499,4000,0,0,0,0,0
AE017196,AE017196.1,7600,11599,4000,0,0,0,0,0
AE017196,AE017196.1,7700,11699,4000,0,0,1,1,1
AE017196,AE017196.1,7800,11799,4000,0,0,0,0,1
AE017196,AE017196.1,7900,11899,4000,0,0,0,0,0
AE017196,AE017196.1,8000,11999,4000,0,0,0,0,0
AE017196,AE017196.1,8100,12099,4000,0,0,0,0,0
AE017196,AE017196.1,8200,12199,4000,0,0,0,0,0
AE017196,AE017196.1,8300,12299,4000,0,0,0,0,0
AE017196,AE017196.1,8400,12399,4000,0,0,0,0,0
AE017196,AE017196.1,8500,12499,4000,0,0,0,0,0
AE017196,AE017196.1,8600,12599,4000,0,0,0,0,1
AE017196,AE017196.1,8700,12699,4000,0,0,0,0,1
AE017196,AE017196.1,8800,12799,4000,0,0,0,0,1
AE017196,AE017196.1,8900,12899,4000,0,0,0,0,0
AE017196,AE017196.1,9000,12999,4000,0,0,0,0,0
AE017196,AE017196.1,9100,13099,4000,0,0,0,0,0
AE017196,AE017196.1,9200,13199,4000,0,0,0,0,0
AE017196,AE017196.1,9300,13299,4000,0,0,0,0,0
AE017196,AE017196.1,9400,13399,4000,0,0,0,0,0
AE017196,AE017196.1,9500,13499,4000,0,0,0,0,0
AE017196,AE017196.1,9600,13599,4000,0,0,0,0,0
AE017196,AE017196.1,9700,13699,4000,0,0,0,0,0
AE017196,AE017196.1,9800,13799,4000,0,0,0,0,0
AE017196,AE017196.1,9900,13899,4000,0,0,0,0,0
AE017196,AE017196.1,10000,13999,4000,0,0,0,0,0
AE017196,AE017196.1,10100,14099,4000,0,0,0,0,0
AE017196,AE017196.1,10200,14199,4000,0,0,0,0,0
AE017196,AE017196.1,10300,14299,4000,0,0,0,0,0
AE017196,AE017196.1,10400,14399,4000,0,0,0,0,0
AE017196,AE017196.1,10500,14499,4000,0,0,0,0,0
AE017196,AE017196.1,10600,14599,4000,0,0,0,0,0
AE017196,AE017196.1,10700,14699,4000,0,0,0,0,0
AE017196,AE017196.1,10800,14799,4000,0,0,0,0,0
AE017196,AE017196.1,10900,14899,4000,0,0,0,0,0
AE017196,AE017196.1,11000,14999,4000,0,0,0,0,0
AE017196,AE017196.1,11100,15099,4000,0,0,0,0,0
AE017196,AE017196.1,11200,15199,4000,0,0,0,0,0
AE017196,AE017196.1,11300,15299,4000,0,0,0,0,0
AE017196,AE017196.1,11400,15399,4000,0,0,0,0,0
AE017196,AE017196.1,11500,15499,4000,0,0,0,0,0
AE017196,AE017196.1,11600,15599,4000,0,0,0,0,0
AE017196,AE017196.1,11700,15699,4000,0,0,0,0,0
AE017196,AE017196.1,11800,15799,4000,0,0,0,0,0
AE017196,AE017196.1,11900,15899,4000,0,0,0,0,0
AE017196,AE017196.1,12000,15999,4000,0,0,0,0,0
AE017196,AE017196.1,12100,16099,4000,0,0,0,0,0
AE017196,AE017196.1,12200,16199,4000,0,0,0,0,0
AE017196,AE017196.1,12300,16299,4000,0,0,0,0,0
AE017196,AE017196.1,12400,16399,4000,0,0,0,0,0
AE017196,AE017196.1,12500,16499,4000,0,0,0,0,0
AE017196,AE017196.1,12600,16599,4000,0,0,0,0,0
AE017196,AE017196.1,12700,16699,4000,0,0,0,0,0
AE017196,AE017196.1,12800,16799,4000,0,0,0,0,0
